__time,joint1_position,joint2_position,joint3_position,joint4_position,joint5_position,joint6_position
1664545410.21055,0.394099,1.745355,0.605669,1.193437,0.357418,-1.107534
1664545410.23012,0.381697,1.746564,0.603888,1.204175,0.335942,-1.127476
1664545410.25075,0.369025,1.747805,0.60219,1.216447,0.314466,-1.14435
1664545410.2704,0.356187,1.749089,0.60043,1.227185,0.289922,-1.164292
1664545410.29024,0.343143,1.750392,0.598691,1.240991,0.266913,-1.182699
1664545410.31019,0.329902,1.751696,0.59689,1.253262,0.243903,-1.202641
1664545410.33026,0.316443,1.753036,0.595026,1.262466,0.219359,-1.222583
1664545410.3502,0.302632,1.754415,0.593131,1.273204,0.194816,-1.244058
1664545410.37026,0.288553,1.755837,0.591206,1.28701,0.171806,-1.264
1664545410.39025,0.274307,1.757253,0.589301,1.300816,0.147262,-1.283942
1664545410.41094,0.259948,1.758706,0.587334,1.311554,0.122718,-1.305418
1664545410.4309,0.24534,1.760204,0.585305,1.322291,0.096641,-1.326893
1664545410.45049,0.230484,1.761739,0.583255,1.336097,0.070563,-1.346835
1664545410.47001,0.215379,1.763261,0.581267,1.349903,0.046019,-1.369845
1664545410.49034,0.200047,1.764834,0.57929,1.360641,0.019942,-1.391321
1664545410.51018,0.184518,1.766419,0.577333,1.374447,-0.003068,-1.41433
1664545410.53025,0.168885,1.768054,0.575242,1.388253,-0.032214,-1.435806
1664545410.55049,0.153097,1.769683,0.573089,1.400524,-0.059825,-1.458816
1664545410.57116,0.136947,1.771343,0.570914,1.412796,-0.087437,-1.480291
1664545410.59077,0.120486,1.773041,0.56872,1.425068,-0.111981,-1.501767
1664545410.61085,0.103807,1.774764,0.566597,1.43734,-0.138058,-1.521709
1664545410.63081,0.087067,1.776487,0.56434,1.449612,-0.164136,-1.543185
1664545410.65074,0.070192,1.778248,0.562187,1.463418,-0.190214,-1.563126
1664545410.67043,0.053089,1.780021,0.559899,1.47569,-0.214757,-1.583068
1664545410.6903,0.0358,1.781812,0.557518,1.487961,-0.240835,-1.604544
1664545410.71063,0.018387,1.783611,0.555189,1.500233,-0.263845,-1.622952
1664545410.73057,0.000952,1.785421,0.552766,1.510971,-0.286854,-1.644427
1664545410.75035,-0.016482,1.787257,0.550281,1.523243,-0.311398,-1.664369
1664545410.77057,-0.034123,1.789093,0.547755,1.533981,-0.334408,-1.682777
1664545410.79097,-0.052064,1.79096,0.545281,1.544719,-0.358952,-1.702719
1664545410.81055,-0.069995,1.792814,0.542869,1.555457,-0.381961,-1.721126
1664545410.83052,-0.087916,1.794669,0.540394,1.566194,-0.403437,-1.739534
1664545410.85069,-0.105878,1.796511,0.537972,1.575398,-0.426447,-1.759476
1664545410.87073,-0.123933,1.798365,0.535549,1.58767,-0.447922,-1.777884
1664545410.89116,-0.142019,1.800232,0.533158,1.598408,-0.469398,-1.794758
1664545410.91102,-0.160126,1.802055,0.530766,1.609146,-0.490874,-1.813165
1664545410.93099,-0.178161,1.803904,0.528323,1.61835,-0.51235,-1.830039
1664545410.95097,-0.195305,1.805796,0.525952,1.630622,-0.533825,-1.848447
1664545410.97087,-0.214375,1.807638,0.523675,1.639825,-0.555301,-1.865321
1664545410.99099,-0.231664,1.809505,0.521273,1.650563,-0.576777,-1.883729
1664545411.01089,-0.249668,1.811372,0.51883,1.661301,-0.595185,-1.900602
1664545411.03087,-0.267568,1.81322,0.516469,1.670505,-0.615126,-1.915942
1664545411.05058,-0.285457,1.815037,0.51414,1.679709,-0.635068,-1.93435
1664545411.07065,-0.303368,1.81686,0.511748,1.687379,-0.65501,-1.94969
1664545411.08099,-0.312343,1.817781,0.510527,1.693515,-0.664214,-1.95736
1664545411.10067,-0.330171,1.819604,0.508177,1.702719,-0.684155,-1.972699
1664545411.13105,-0.356653,1.822317,0.504729,1.716525,-0.711767,-1.994175
1664545411.14065,-0.365432,1.823226,0.50358,1.721126,-0.720971,-2.001845
1664545411.16099,-0.383146,1.82503,0.50124,1.73033,-0.739379,-2.017185
1664545411.18062,-0.400808,1.826697,0.498942,1.739534,-0.756253,-2.032525
1664545411.20078,-0.418325,1.828532,0.496809,1.747204,-0.77466,-2.04633
1664545411.22142,-0.435614,1.830268,0.494604,1.754874,-0.79,-2.06167
1664545411.24117,-0.452748,1.831922,0.492337,1.762544,-0.806874,-2.073942
1664545411.26106,-0.469757,1.833632,0.490101,1.770214,-0.822214,-2.087748
1664545411.28109,-0.486643,1.835343,0.487916,1.779418,-0.840621,-2.10002
1664545411.31107,-0.511614,1.837924,0.484531,1.790156,-0.863631,-2.121495
1664545411.33103,-0.527888,1.839603,0.482346,1.797826,-0.878971,-2.133767
1664545411.35009,-0.544173,1.841295,0.480203,1.805495,-0.892777,-2.144505
1664545411.37002,-0.560437,1.842948,0.478102,1.811631,-0.909651,-2.156777
1664545411.39035,-0.576515,1.84459,0.476073,1.819301,-0.923456,-2.169049
1664545411.41033,-0.592345,1.846225,0.474116,1.826971,-0.937262,-2.181321
1664545411.43019,-0.607988,1.847835,0.472097,1.831573,-0.951068,-2.192059
1664545411.45045,-0.623496,1.849439,0.470016,1.837709,-0.964874,-2.202796
1664545411.47003,-0.638787,1.850999,0.467966,1.843845,-0.97868,-2.213534
1664545411.49054,-0.653902,1.852547,0.46603,1.849981,-0.990952,-2.224272
1664545411.50992,-0.668821,1.854069,0.464063,1.857651,-1.001689,-2.233476
1664545411.53055,-0.683418,1.855604,0.462283,1.862253,-1.013961,-2.24268
1664545411.55014,-0.697622,1.857102,0.460471,1.868389,-1.024699,-2.251884
1664545411.57022,-0.711661,1.858562,0.458545,1.874525,-1.035437,-2.261088
1664545411.59049,-0.725637,1.859996,0.456682,1.879127,-1.047709,-2.270292
1664545411.60993,-0.739416,1.861444,0.454808,1.885262,-1.058447,-2.281029
1664545411.63021,-0.752896,1.862859,0.452882,1.889864,-1.067651,-2.287165
1664545411.65041,-0.766054,1.864238,0.451164,1.894466,-1.076855,-2.294835
1664545411.67051,-0.778892,1.865597,0.449445,1.897534,-1.086058,-2.300971
1664545411.69019,-0.791491,1.866932,0.447758,1.902136,-1.092194,-2.307107
1664545411.7102,-0.803769,1.868254,0.446205,1.90367,-1.099864,-2.313243
1664545411.7304,-0.815737,1.869526,0.444548,1.906738,-1.107534,-2.317845
1664545411.75072,-0.827343,1.870741,0.442995,1.909806,-1.112136,-2.322447
1664545411.77032,-0.838648,1.871944,0.44137,1.912874,-1.118272,-2.328583
1664545411.79033,-0.849611,1.873134,0.439796,1.917476,-1.122874,-2.333185
1664545411.81051,-0.860005,1.874294,0.438285,1.920544,-1.130544,-2.337787
1664545411.83022,-0.870172,1.875415,0.436784,1.922078,-1.135146,-2.342389
1664545411.85087,-0.880017,1.876486,0.435469,1.925146,-1.141282,-2.346991
1664545411.87058,-0.889542,1.877551,0.434113,1.92668,-1.145884,-2.350059
1664545411.89061,-0.898777,1.878604,0.432736,1.929748,-1.150486,-2.354661
1664545411.91026,-0.907649,1.879632,0.431504,1.932816,-1.155088,-2.357728
1664545411.93033,-0.916097,1.880646,0.430127,1.93435,-1.15969,-2.36233
1664545411.95044,-0.924193,1.881611,0.428802,1.935884,-1.164292,-2.365398
1664545411.9703,-0.931916,1.882564,0.427632,1.937418,-1.167359,-2.366932
1664545411.99065,-0.939287,1.883491,0.426359,1.938952,-1.170427,-2.37
1664545412.01074,-0.946286,1.884355,0.425137,1.940486,-1.173495,-2.371534
1664545412.03072,-0.952994,1.885201,0.424184,1.94202,-1.175029,-2.373068
1664545412.05052,-0.959247,1.88606,0.423201,1.94202,-1.176563,-2.374602
1664545412.07074,-0.965159,1.886862,0.422176,1.943554,-1.178097,-2.376136
